
=========================== Training ===========================
[2023/03/18 12:17:13] 	 epoch : 001/300 	 Epoch loss:310.241196 	 Average loss:0.005171 	 Accuracy: 0.3935 	 KD loss: 472.139775 	 CLS loss: 44.928862
[2023/03/18 12:17:15] 	 ### Accuracy on 10000 test images: 0.4721 Best accuracy so far: 0  =>  saving model... ###
[2023/03/18 12:17:34] 	 epoch : 002/300 	 Epoch loss:162.364781 	 Average loss:0.002706 	 Accuracy: 0.7063 	 KD loss: 247.362483 	 CLS loss: 23.245477
[2023/03/18 12:17:52] 	 epoch : 003/300 	 Epoch loss:89.696693 	 Average loss:0.001495 	 Accuracy: 0.7781 	 KD loss: 131.824695 	 CLS loss: 17.669786
[2023/03/18 12:18:10] 	 epoch : 004/300 	 Epoch loss:62.755417 	 Average loss:0.001046 	 Accuracy: 0.8234 	 KD loss: 89.636771 	 CLS loss: 14.955586
[2023/03/18 12:18:27] 	 epoch : 005/300 	 Epoch loss:47.992559 	 Average loss:0.000800 	 Accuracy: 0.8560 	 KD loss: 67.072585 	 CLS loss: 12.915010
[2023/03/18 12:18:45] 	 epoch : 006/300 	 Epoch loss:39.731796 	 Average loss:0.000662 	 Accuracy: 0.8723 	 KD loss: 54.530575 	 CLS loss: 11.689082
[2023/03/18 12:19:03] 	 epoch : 007/300 	 Epoch loss:35.268817 	 Average loss:0.000588 	 Accuracy: 0.8813 	 KD loss: 47.806323 	 CLS loss: 10.975036
[2023/03/18 12:19:21] 	 epoch : 008/300 	 Epoch loss:31.883788 	 Average loss:0.000531 	 Accuracy: 0.8904 	 KD loss: 42.976478 	 CLS loss: 10.163166
[2023/03/18 12:19:39] 	 epoch : 009/300 	 Epoch loss:29.130429 	 Average loss:0.000486 	 Accuracy: 0.8966 	 KD loss: 39.086751 	 CLS loss: 9.463962
[2023/03/18 12:19:56] 	 epoch : 010/300 	 Epoch loss:27.375515 	 Average loss:0.000456 	 Accuracy: 0.9010 	 KD loss: 36.567244 	 CLS loss: 9.058612
[2023/03/18 12:19:58] 	 ### Accuracy on 10000 test images: 0.8825 Best accuracy so far: 0.4721  =>  saving model... ###
[2023/03/18 12:20:17] 	 epoch : 011/300 	 Epoch loss:26.293078 	 Average loss:0.000438 	 Accuracy: 0.9050 	 KD loss: 35.108572 	 CLS loss: 8.713223
[2023/03/18 12:20:35] 	 epoch : 012/300 	 Epoch loss:24.407933 	 Average loss:0.000407 	 Accuracy: 0.9102 	 KD loss: 32.515492 	 CLS loss: 8.164394
[2023/03/18 12:20:53] 	 epoch : 013/300 	 Epoch loss:23.857066 	 Average loss:0.000398 	 Accuracy: 0.9107 	 KD loss: 31.780278 	 CLS loss: 7.981498
[2023/03/18 12:21:12] 	 epoch : 014/300 	 Epoch loss:22.941271 	 Average loss:0.000382 	 Accuracy: 0.9130 	 KD loss: 30.453960 	 CLS loss: 7.781490
[2023/03/18 12:21:30] 	 epoch : 015/300 	 Epoch loss:22.065528 	 Average loss:0.000368 	 Accuracy: 0.9171 	 KD loss: 29.345594 	 CLS loss: 7.430285
[2023/03/18 12:21:48] 	 epoch : 016/300 	 Epoch loss:21.358157 	 Average loss:0.000356 	 Accuracy: 0.9181 	 KD loss: 28.280697 	 CLS loss: 7.316231
[2023/03/18 12:22:06] 	 epoch : 017/300 	 Epoch loss:21.399319 	 Average loss:0.000357 	 Accuracy: 0.9178 	 KD loss: 28.421995 	 CLS loss: 7.243534
[2023/03/18 12:22:24] 	 epoch : 018/300 	 Epoch loss:20.165062 	 Average loss:0.000336 	 Accuracy: 0.9214 	 KD loss: 26.740866 	 CLS loss: 6.867570
[2023/03/18 12:22:42] 	 epoch : 019/300 	 Epoch loss:20.118995 	 Average loss:0.000335 	 Accuracy: 0.9224 	 KD loss: 26.710599 	 CLS loss: 6.821057
[2023/03/18 12:22:57] 	 epoch : 020/300 	 Epoch loss:18.871781 	 Average loss:0.000315 	 Accuracy: 0.9247 	 KD loss: 24.984937 	 CLS loss: 6.468030
[2023/03/18 12:23:00] 	 ### Accuracy on 10000 test images: 0.9016 Best accuracy so far: 0.8825  =>  saving model... ###
[2023/03/18 12:23:17] 	 epoch : 021/300 	 Epoch loss:18.659515 	 Average loss:0.000311 	 Accuracy: 0.9256 	 KD loss: 24.691343 	 CLS loss: 6.407848
[2023/03/18 12:23:35] 	 epoch : 022/300 	 Epoch loss:18.326726 	 Average loss:0.000305 	 Accuracy: 0.9281 	 KD loss: 24.267088 	 CLS loss: 6.277454
[2023/03/18 12:23:53] 	 epoch : 023/300 	 Epoch loss:17.725165 	 Average loss:0.000295 	 Accuracy: 0.9288 	 KD loss: 23.490530 	 CLS loss: 6.051411
[2023/03/18 12:24:10] 	 epoch : 024/300 	 Epoch loss:17.697476 	 Average loss:0.000295 	 Accuracy: 0.9299 	 KD loss: 23.432478 	 CLS loss: 6.063314
[2023/03/18 12:24:27] 	 epoch : 025/300 	 Epoch loss:17.015360 	 Average loss:0.000284 	 Accuracy: 0.9310 	 KD loss: 22.487041 	 CLS loss: 5.871891
[2023/03/18 12:24:44] 	 epoch : 026/300 	 Epoch loss:16.539355 	 Average loss:0.000276 	 Accuracy: 0.9328 	 KD loss: 21.920447 	 CLS loss: 5.645143
[2023/03/18 12:25:01] 	 epoch : 027/300 	 Epoch loss:16.868802 	 Average loss:0.000281 	 Accuracy: 0.9319 	 KD loss: 22.369001 	 CLS loss: 5.745668
[2023/03/18 12:25:19] 	 epoch : 028/300 	 Epoch loss:16.058029 	 Average loss:0.000268 	 Accuracy: 0.9358 	 KD loss: 21.272342 	 CLS loss: 5.491038
[2023/03/18 12:25:36] 	 epoch : 029/300 	 Epoch loss:15.758653 	 Average loss:0.000263 	 Accuracy: 0.9361 	 KD loss: 20.856915 	 CLS loss: 5.407506
[2023/03/18 12:25:53] 	 epoch : 030/300 	 Epoch loss:15.310607 	 Average loss:0.000255 	 Accuracy: 0.9358 	 KD loss: 20.220651 	 CLS loss: 5.297026
[2023/03/18 12:25:55] 	 ### Accuracy on 10000 test images: 0.9122 Best accuracy so far: 0.9016  =>  saving model... ###
[2023/03/18 12:26:12] 	 epoch : 031/300 	 Epoch loss:15.293419 	 Average loss:0.000255 	 Accuracy: 0.9382 	 KD loss: 20.344314 	 CLS loss: 5.144717
[2023/03/18 12:26:30] 	 epoch : 032/300 	 Epoch loss:15.192628 	 Average loss:0.000253 	 Accuracy: 0.9374 	 KD loss: 20.182040 	 CLS loss: 5.139006
[2023/03/18 12:26:47] 	 epoch : 033/300 	 Epoch loss:14.790903 	 Average loss:0.000247 	 Accuracy: 0.9377 	 KD loss: 19.573224 	 CLS loss: 5.078279
[2023/03/18 12:27:03] 	 epoch : 034/300 	 Epoch loss:14.400680 	 Average loss:0.000240 	 Accuracy: 0.9397 	 KD loss: 19.103437 	 CLS loss: 4.897696
[2023/03/18 12:27:20] 	 epoch : 035/300 	 Epoch loss:14.169717 	 Average loss:0.000236 	 Accuracy: 0.9407 	 KD loss: 18.814913 	 CLS loss: 4.801282
[2023/03/18 12:27:37] 	 epoch : 036/300 	 Epoch loss:14.220516 	 Average loss:0.000237 	 Accuracy: 0.9409 	 KD loss: 18.845716 	 CLS loss: 4.855143
[2023/03/18 12:27:54] 	 epoch : 037/300 	 Epoch loss:13.971775 	 Average loss:0.000233 	 Accuracy: 0.9423 	 KD loss: 18.579631 	 CLS loss: 4.706659
[2023/03/18 12:28:10] 	 epoch : 038/300 	 Epoch loss:14.270282 	 Average loss:0.000238 	 Accuracy: 0.9409 	 KD loss: 18.931555 	 CLS loss: 4.852247
[2023/03/18 12:28:26] 	 epoch : 039/300 	 Epoch loss:13.727633 	 Average loss:0.000229 	 Accuracy: 0.9427 	 KD loss: 18.229108 	 CLS loss: 4.650280
[2023/03/18 12:28:45] 	 epoch : 040/300 	 Epoch loss:13.249880 	 Average loss:0.000221 	 Accuracy: 0.9437 	 KD loss: 17.564093 	 CLS loss: 4.519039
